hate,female,0,filtered_text
,,არა ფაშიზმს,
1,0,esec kidev erti yle,
,,hee biziaaa qurti tuxar romeli laivs ra rtav ras amariajeb mag nakloikebss gaizardeee,
1,0,აი ყლეა,
1,0,yle,
1,0,ყველა თქვენდათავად კლიკბეიტორი დედამოტყნულიდედაშევეცი,
,,Inglisuris aqcenti kai aqvs,
1,0,აეს ყლე ვინარი ეკუთვნის რაც ახატია ცოდო ხარ ამოგაჭრიან მაგეებს,
1,0,Hahahahahaha ყლის ძოგიიიი,
,,იმ ტიპს ულვაშები ნახევრად აქვს გაპარსული,
1,0,ylebi,
,,Tatu da nakolka ise gansxvavdeba ertmanetisagan rogorc ca da dedamiwa,
,,tatos axsna ar icis,
,,კოვზი შაქარი არ მოურიო ტკბილი არმიყვარს,
,,,
1,0,Shenairi yleebit roa saqartvelo savse mitoa saqartvelos sakme kargad,
1,0,Magari siria,
1,0,egeti yle bevria onlainshi blataoben da erti ertze magat nacvlad sxva vigaceebi laparakoben tviton chajmulebi dganan eseti qveshajviebi ratom arseboben,
1,0,Amat shig aaqvt tu cdiloben rom shig qondet tu rogoraa amati ambavi axsnebio chaxsnebio da yleebioo amat moutyan sul gamoylevden eseni amxela biwebi arian ra chemi yle undat saertod purdapir chartvashi trakis tamashu evasebat etyoba dagajvit azrovnebashi bgawebo,
1,0,Xo idzaxis shemxvdi da iq momtxove axsnao vitom xo dzvel bichobs arada magari nabozvari rojaa jer ra ylea tips zvezdochka nakolka da qurduli nishnebi axatia tipi im donis ylea ro laivshi shemodis tan titveli es yle da dalshe ras idzaxis ra of qours ra bich modi nebismier dros shegxvdebi da mogitynav mag nakolkebs vitot dzveli bichi dedashebeci sheni,
1,0,Visac qurdulisamyvaroaruyvars yvelas dedas sheveci,
1,0,Tqven dedebs sheveci da imdroebasac sheveci qurduli tqvennairi ylis tavsaxurebis sagadaoro gaxdeba,
1,0,ეეჰ არაა ის დრო თორეე გახურებული ჟაჟიკალკით ამოგწვავდენ მაგ სვასტიკას და ზვეზდოს და დაგანახებდენ რა იხსნება და არა გაუგონიათ რაღაც მალალეტკური,
,,Ddd,
1,0,Bijo mag tatoebis mnishvneloba tu ici ar unda gaiketo gaige magas ubralo xalxi ar iketebs magaze mogtxovs vigaca tu daginaxa,
1,0,აი მე თქვენი პატრონის დედებს ჩავათესლე,
,,damibrunet dakarguli,
1,0,Amati dazepirebuli qurduli movtkan me,
,,Eseni unda shekaro karxanashi da unda amushavo,
,,,
,,vaime,
1,0,Dalshe aravin araa qurdi visac yt aqvs da egre igineba komebshi saqmes ro onlinshi gaarchev yle araxar ukve ianebi dasrulda radrois chveni qurdobaa wigni rom gadashalot da waikitxot ara imarjvebs is visac ufro meti chkua da elementaruli shegneba romelsac aqvs adamians romelsac shegneba aqvs is qurdobas ar daibralebs daushvat xar qurdi ra gixaria qurdebi svabodaze geredwodebuli srokze arian sul magalitad bidzachemi wlian srokzea axalwels chamodis da ra aris aq magari bidzachemi kanonieri qurdia da nanobs tavis saqmeebs cxovreba gaatara cixeshi da ra aris aq magari ra qurdoba damiwyet yvelam yt ze jiz varammo rom dawert da bozebis dedaco rom wers zogi qurdobaaa es kai ra xalxno ianebi dasrulda texavs qurdoba dzaan mitumetes bavshvi rom ambobs qurdi varo ra sirobaa es amas jobia wigni waikitxot da ganatlebis done awiot dayendit ra wlis vitom qurdebi da wigni waikitxet,
1,0,Anu tipebi yvela liveshi da vabshe eubnebian romeli qurdi shemovidodao ki martalia rom ar shemovidodoa mara tvitonac isinic qurdoben da onlinshiki qurdebi arian da arcerti ar iyo mand martali ai adamianidan yvela mtyuani iyo da vinc liveshi iyo isic mtyuani iyo vabshe cudi da yleuri bazari iyo aravin ar iyo maqedan namdvili ქურდი yvela onlinshiki iyo vinc uyurebda vinebic saubrobdnen da ravi ai eseti gandonebi pirvelad vnaxe uazro ponti iyo,
1,0,ამას ჰქვია ყლეპროჭაობა,
,,მხარზე ეგ ქურდის ვარსკვლავს ნიშნავს და ქურდების სიმბოლოა,
1,0,mogityant kurdoba gaajvit da misham gaajva exla isev kurdoba gindatmogitysnt,
1,0,Sheni fashisti deda unda mogityna,
1,0,Mogityant dedebi yvelas,
1,0,prochia eg,
1,0,sul daklevda es xalxi,
1,0,Sul gamoylevdnen,
1,0,Sirebi,
1,0,Sirebi,
,,Axali taobis evro kurdebi sabavshvo baxi,
1,0,მაგარი ყლეობები გახატია და დაგიჯვი ნაკოლკებზე დ,
1,0,yleeebi xart,
,,Jer vis rato unda auxsna ra nakolka gaq gind laivshi da gind quchashi jer chestit tviton vinari ro auxsna,
1,0,avoie sadd izdebit shlangeboooo,
1,0,Raa qurduli da sxva rameze ibazreo ro tqva svanma da tqven orma klem ro daetanxmet aba rao ra qurdulio ukve mosatknavebi xart amis gamo marto dalshe kide mag partakebs egered wodebul nakolkebs rame datvirtva Tu ar mokveboda rato miiixaate bliad getyvit vinc ar icit es qurduli zveda atricalovo egeti araris magram vinc gartkmashi araris magistvis eg ukve ifiqrebs ro kriminalni bichia ra srokze ijda da ase shemdeg egre araris mashin rato miixate padobni da msgavsi ragaca migexata kurdgeli virtxa kakras sheni temaa magram aq ra rashotze gaaketa aman rame eseti tatu ra ro waagavs zonosvski nakolkebs paxodu mentebma ro naxon prosto ra atmazkaze wava da iseni verc daumtkiceben ro qurduli datvirtva mokveba sverxu iseti ro vinme daakleos es kle kide gasworebulshi dadis da vistanac icis ro gasdis mand gakavs she kle bavshvo bavshvi principshi agar xar Mara mainc kle xar chestit bliad ne dai bog Shen kamerashi moxvde ai sluchaino ra sadac chorni xodia da qurduli palajniakia ai shen mogitknaven mand kvelafers ise dagamtvreven sakutar dedas veg gicnobs eseti dro movida tvqveni gasarchevia qurduli an swori da araswori tqe cxovrebit bozeboo Erti txovna maqvs bichebo vinc pariadchna cxovrobs visac chventan ertad xo ai esetebs sadac dainaxavt na xodu moutkanit Deda tore is dro movida ro ukve ase tavisuflad agdebulad laparakoben chven mimart da sul male vabshe cudat iqneba kvelaperi Da patara bavshvebo magaliti ar aigot amat gan kais arafers mogitant me tqvens gasagonat vambob amas sanam droa,
1,0,jer tatu raa is iswavlet mere nakolka mere vis sheulia motxovna mere sad ixateba mere vis aq daxatvis ufleba mere ra moyveba mariajs mere sistemashi ra xdeba magis gamo da bolos orivem gamodit da qurdebs daexiet yleze didi siyvarulit,
,,კარდაბალეტია,
,,ამათმა რომ ცოცხალი ქურდი ნახონ რა გაუძლებს ამათ ბლატაობას,
1,0,Am chuchuebma unda aashenon sakartwelo Tfu tkve bacnebo,
,,Piradshi miwere,
1,0,Blia balanda gichamiat modi didi naxuit raaa,
1,0,bich bich shegtxare xaxashi ylekaca xii i davajvi shens yvelas tavze,
1,0,shegevit pirshi tfuuuu tqve ylebo,
1,0,kituebi xart,
1,0,ვაიმე ვაიმე დაგვენძრა,
1,0,ბლაა ბლაა ტფუიიი დააგაფსათ ქურდემა თქვენაა,
1,0,articalavas da roza vetroff tatoo s rom daarqmev mandaa iasni ukve rom ghirsi ar xar magis tarebis bliad,
,,,
1,0,mozardmayurebelta teatria bliad,
1,0,Am cxovrebis dedas shevecii ro ganukitxaoba aa vegar gaigeb vin vin aris yovel meore axatiaa da ar ekutnit bevrs ganukitxaoba aa zonaze imdeni qatami aa visac varavskoi tatuebi aqvs magat unda amoajra eg tatu ebiii da zedvee daaawvaa es bozebiii ai aseti BOZEBI afujeben Simon palajenias da qurdulistvis vredi maqvt eseni arian bozebii da droebit I mgzavrebiii,
1,0,Es yle varskvlavebis girsi ar aris eg imsaxurebs mag varskvlavebis amojras Bozi xar cxovrebit,
,,ეს ერთიდაიგივე ტიპია,
,,ginebis girsebic araxart,
,,l,
1,0,Vinc shen eg zvedockebi dagaxata imis dedas sheveci agatli mag zvezdochkebs she yleo,
1,0,Ro gadaaketa uceb nakolkebi tattut d mixvda ro nakolka issneba d yle deda sheveci amisi me,
1,0,vai ra yle bichebi xart,
1,0,Mutlebi xart tqveni dedebs rom sheveci mee,
1,0,Videos dasasrulshi ukve waiyleve,
,,რა ტატუ ეგ არის სვასტიკა ფაშისტურია ბლატნოი ატრიცალოვკა სვასტიკა პირიქით უნდა იყოს მიმართული კონკრეტულად ეგ ტატუ არაფერს არ ნიშნავს ეგ ქურდული არ არის და ვისი რა საქმეა კაროჩე რაც გახატია არცერთი ნაკოლკა არ არის ქურდული,
,,Noob,
1,0,Soflelebis fushfushia,
,,adre tu masti ar ikavi ar konda aravis daxatvis upleba da axla ra xdeba gmertma daiparos modit gonze jobia jer kide dro ari,
1,0,chven roca viketebdit nakolkebs giad ar vjdebodit rat ginda mariaji daiparos unda aba raaaa kaneshna eknebat kitxvebi vashkacebs aravin visac ekadreba rac shen gixatia ar gavimeoreb ase navidu internetshi aravin ar dajdeba chven komunistur ckoba roca iko sicocxles gvartmevden nakolkebis gulistvis ramdenjer maikit mibanavia zgvaze rom mainc varidebdit kvelas danaxvas nakolkis axla modashia ukve rogorc vxedav da stori kitxvebiakvt shentan rom icode,
,,დ,
1,0,ჯერ ეს ერთი ეს ყლოსშვილი რო ქურდი იყოს ლაივში კიარგამოეთესლებოდა მსგავსი ხოდებით და საუბრებით მერე კიდო თუ მომავალია ეს ბიჭი და ქურდებში იგვარებს იმ ქურდის დედასშევეცი ვინც ამას მონათლავს და ჩამოაყალიბებს კაროჩე ქურდული თქვენ ყლეობებში და ბლატნოი ტიპობაში ნუ გეშლებათ გამოეთესლები ლაივში და ვითომ რაღაცას ტასაობ და აჯვავ ტიპებს და წლის განდონა ბიჭებს უსწორდებათ და ატნაშენიაუნდათ შენთან მოგიტყან შეგნება და ნებადამრთველი მაგ ტატუს დახატვის,
1,0,Ristvis zixar maikis gareshee tu ar ginda ro shenma nakleikebma kitxvebi dabados sinamdvileshi achokebs iceers vigaca ylis gij gogoebtan romlebsac eseti choilarebi evasebat uscordeba patara bavshvebis komentarebis kitxvaa tu rogori tesli rojaa amis vitom kriminali dedis muteli movtaan rogor mindaa magrad vcemo eseti gamosirebulebi davapsa tavzee gadavugo video da gavubazro mara esets ro shexvdebi tavs chagigunavs cremlebs gadmoyris da bodishebs mogixdis rogoria mere xelis gartyma gadatynuli myavs internetshi moblatave sastavi mara mivxvdi ro chemi nervebis pasad xdeba ees yvelaperi da tavs saprtxeeshi vigdeeb mogstyvniat dedaa tqven mainc ver amoidzirkvebit,
,,რა ეშველება ამ ქვეყანას,
1,0,ra gindat bavshvebo gevasebat vigaca dedas rom gaginebt komentarebshi tavmokvareoba sul agar dagrchat monebistaoba izrdeba memgoni ramodenime dgis cin orma bijma ikamata xmamagla mere ertmanets dedebi agines da patruli gamoizaxes mtkuan martalis dasadgenat tviton tvini ar ekot rom sakitxi gadaecxvitat mere gavige rom orive daajarimes larit xoda axla orive gldanis cixeshi da elodebian ojaxi saxls rodis daagiraveds da jarimas rodis gadaixdian ai sadamde mividnen monuri azrovnebit pakalenia pepsi,
1,0,rs batqi aicia es sitkvebi bavshvobashic ki goimobad itvleboda anu cels batqi aicia ra iko qartuli sitkvebi ar gvaqvs shesabamisi tu aseti kle cinadadebit gindat kuradgebis miqceva batqi aicia xa xa xa,
1,0,ვუყურებ და რომელი უფრო დიდი სირია ვერ ვხვდები,
1,0,რო ამატებენ ჩემი ისაა ჩემი ესააო რო ართქვან ერთმანეთის ახლობლებზე ცუდი დდდდდდ დაგიტრაწეთ ქურდულზეც და ტატუებზეც დდდდ,
1,0,au rayleyofilaa,
,,tqvensetebs rogor shevagino sheginebac ar girs D,
,,გა მო სი რე ბუ ლე ბი,
1,0,ბიჭო ეგენი რომ გახტია ქართულად ლაპარაკს როგორ ბედავ შენი დედა მოვტყან,
1,0,Unda daichiro orive da piridan unda datyna,
,,,
1,0,tagacli mag tvalebs da agaden crelmmlesbs she yvero bavsho,
1,0,jer aqedan avigot qurdeis garda zvordochkas axsnas veravin moitxovs da ra yleoes saubrobt am laivshi,
1,0,ზედ დაგაჯვით აბსოლიტურათ მოგიტყანთ ვაშკაცობა და გაგება,
1,0,Ra yleebi xart,
1,0,laivshi maseti temebze dialogi ara scori DA RA BLIAD GAAXURET TO VISAC YLE AUDGEBA SHEMOVA DA IDZVEL BICHEBS GESMIT AR GESMIT MAIC TLIKINEBD RAXAC SIROBAS DA SITYVA QURDULI TQVEN AR GEKUTNIS DA MAGIS GAXSENEBAC ARARI SACHIRO LAIVSHI magas jobia cynarat patiosnurat icxovrot,
1,0,Es iset duxzea sistemashic ityvis tqven vin xart rom maxsnevinebto da miawodeben shkurkas,
,,Chaicvi maika ar gacivde,
,,რატო დადეს ეს ვიდეო ამით რა ქნეს ვერ მივხვდი,
1,0,es qurduli varskvlavi ar aris vafshe eseni kai bichebi ar arian bavshuri dialogia qurdi sizmarshic ar eyolebat nananxi romel kai bichobazea saubari ra tatuebis axsna eseni arian yleeebi qurdulze visac unda vebazrebi pirispir qurdebis winashe da amnair yleebs vachoqeb xididan vyri siri bavshvebi,
,,Ra dro dagvodga aset sirebs rom ablataveben,
1,0,დანძრეული გვაქვს,
,,bavshvrbo wigni waikitxet damijeret gamogadgebat weli naxalokavshi birjaze gavatare da dges vnanob qurduli ara shmhrduli enebi iswavlet gaixedet rac xdeba samyaroshi marsze miduan ro dasaxldnen bliaddd ra qurduli too,
,,Magari xar,
1,0,Vaiiiiiiii utrako trakebi,
1,0,Amas qvia darxeva vaa tqve chemis gadangreulebo vaabshe daklevdit xo Trakze matarebeli daixate she kleo shena ajobebs asaxsnelic ar geqneba,
,,Pituxi ibanie,
,,shemxvdi da agixsni ra tatu maxatia avoieeee,
,,tatu arixsneba nakolka ki sheileba gaicinot aq raznica rariso magram raznica didia,
1,0,au esroician rogor sheviginoo da mere dedistraks afareben ertmanets xD,
1,0,arada rac axatia mxrebzec da mkerdzec ixsneba prosta iseti yle cxovreba movida yoveli meore ixarebs,
1,0,Siafanti xalxi fu tqveni,
1,0,Atasi xalxi giyurebs she siro eg tu ici chaicvi maisuri she dedis pir motynulo,
1,0,au tqveni sazizgari dedebss shevatsslee pirrshii tqveniii livee da tqvenii ojaxebi movvtyan ra,
1,0,qurdebo tito tito esetebi gaatriet saqartvelodan da aswavlet tu vis aqvs ufleba qurdulze isaubros,
,,D sityvebi zedmetia ubralod shesaferisi sityva ver vipove,
,,dd,
,,An ar gitydebat amdens ro gagineben rato shemodixart laivebshi,
,,რამდენი კვერცხია,
,,dzmebo tu xatavt unda icodet ras xatavt tu icit magaze kargi ra aris,
1,0,ეს ქართველები მთლად გამოყლევდით არაა,
1,0,Shen yleo vaime ra yle xarrr,
1,0,agawvavdi mag zviozdachkebs she qatamoo ramdens bedav shee pirdapir ylidan gadmomxtaroo,
1,0,tqvenii bozad gachenili dedas sheveci,
1,0,ra cemi ylea es laivi azrs ver chavcvdi erti spana ori shpana komentarebi detski sad ertma gaicina magar raxaceebs azrobso es gogoo raxac uazroba dacera da amatma gaicines aseti segrzneba maq sxva planetaze movxvdi albat araferi xdeba saintereso da emocia raxacasi unda gamoixatos unda daixarjos qurdulio raxacao sad banaobt zaan iseti budovania es yvelaferi da tqveni saqcieli ra undoda am xalxs ver mivxvdi,
,,ღმერთო შენ დაიფარე საქართველო,
,,აუ ჩემი ქურდოა უნდა და ქვაბში საჭმელს აკეთებდა ბოლოს დ,
1,0,ვაი თქვენი მსახიობი კარგი მოვტყან,
1,0,SHENI DEDIS ZUZUEBI GAXMES RA QVIA IM DEDA MOKLULS KOMBI VINC GAMOIGONA RO ARA ES INTERNETI AMAS XO VER VNAXAVD,
1,0,tatus xsnian bichebi ra sirebi xart,
,,tatus axsna,
1,0,amati orivesi didis pirshi sheveci,
1,0,Kutuebi,
,,Mariaji narodi mecinebaaaaaaa,
1,0,დოდო ყლეებიი,
1,0,Amoijeri she yleo,
1,0,Sirebo,
1,0,priichoskebii ariian magarii magarii adrendelii indoelvebii xart fuu biilied,
1,0,Yleebi xart ve,
1,0,ტიპიური სირიები,
1,0,Simonebi,
1,0,Magari yle bavshvebi arian mogityant deda shvileboo,
,,Ravi nakolka ratom unda daanaxo liveshi azze arvar mara rato axtebianxolme egvergavige,
1,0,რადედაუტყნეს აზრზეხართ წარმოდგინეთ როგორ ცემდენ ნეტა მეყურებინა ამის დებილი დედამოვტყან და იმის კიდე გინც გვერდში დაუდგა და ვინც არგაუჩერა ინსტაგრამი,
1,0,ლე ხარ ჩამოსხმა,
1,0,ენაცვალე ვინც დაგაფუჩურა,
1,0,მოუტყნეს გამზრდელი,
1,0,ოგეტყნა დედა მშვენიერი,
1,0,მოგხვდა შე ყლეოოო ქეჩოში,
1,0,პიდარასტებს ეგრე მოუწევს,
,,კომენტარებში რა გჭირთ,
1,0,ერთი ცემა რაა დღეში სამჯერ უნდა გაგიგდონ წიხლქვეშ შენ არუთინაშვილი ვიღაც პოლუპიდარასტი კავკავიშვილი და ყველა ვინც ეპატაჟურად აზროვნებს შე მართლა წაღმა უკუღმა ნახმარო შე გადაჯიშებულო და სისხლგამშრალო მე რა შიპლიპიტო უნდა მომჭამო ბავშვები გიყურებენ ვერ გაურკვევიათ რა არის კარგი და რა ცუდი ვიღაცა შენზე უფრო ნახმარი გამოვარდება და იტყვის რატომ აბულინგებ დროს ჩამორჩი ან უფრო უარესი გშურს და იმიტომ წერო შენი რომ ადამიანს შეშურდება ის უნდა გასვა სარზე ვერტიკალურად მერე იმ მწერალთა კავშირს შევეცი შენ რომ წევრობაზე მოგიწერა ხელი იმ კავშირში სადაც გალაკტიონი დააბიჯებდა სადაც გოგლა მარგიანი აბაშიძეები მურმან ლებანიძე კონსტანტინე და ბევრი გენიოსები ბაღში ნიჭზე ბჭობდნენ იქ სადაც მუხრანი ნოდარ დუმბაძე შოთა ნიშნიანიძე გურამ ფანჯიკიძე მოღვაწეობდა იმ კავშირის წევრობაზე ხელი ვინც მოგიწერა ბაღათერ არაბული იქნება თუ ჭიჭიკია ბოდიში ჭიჭიკიასთან საწერ კალამი არ უნდა შეთხარო სადაც ჯერ არს შენ სულით ხორცამდე ბოზო ვის უხდი მადლობას ვინ დაგიდგა გვერდით გადახედე კომენტარებს და მიხვდები რომ ტატუნაშვილების ანწუხელიძეების შინდისის გმირების ქვეყანაში შენი და თქვენი ადგილი აღარაა ბავშვებს ნუ უბინდავ გონებას შენისთანა პიდარასტებმა წალეკეს ტელევიზიები შენისთანა ეპატაჟურმა ქინძმა თქვა პირდაპირ ეთერში ჩემზე ვეფხვსაც აუდგებაო და ამას ისმენს პატარა ბავშვი ბიჭი თუ გოგო არ ხართ დასახვრეტ დასატყნავები კიდევ უტიფრად აცხადებ მცემესო წესად უნდა იქცეს თქვენი წიხლქვეშ გაგდება მოვალეობად უნდა ჩათვალოს ყველა კაცმა ვინც თქვენი მომხრეა გაუმზადეთ თქვენს გვერდით ადგილი,
1,0,ხმა ჩაიგდე შე თავ ყლე დიდი სიამოვნებით დაგილეწავდი მაგ დაბერილ სახეს შე ნაბოზარო შე ზოდიაკოთი ყლეო,
1,0,რობერტო შე ცხოველო როგორ ატკინე მასხოს არ გეცოდება შე მოძალადე ვახ ჩემი აგარია,
1,0,წესიერება არიცი რაარის შენ პირში შევეცი,
1,0,ეს რა ყლეა,
1,0,Ar misca kle mavans muteli,
1,0,მოგიტყან დედის მუტელი მასხულია,
,,vaxx,
1,0,ეს ლა გიქნეს ცუდებმა ფუ აუ რა ყლე ხარ D,
,,დედაშენი მაიც შეიცოდე შენი თავი თუარ გეცოდება,
1,0,Dedaa movtyan sheni she bozooooooooo,
1,0,ეს ხალხო ყველაფრის მკადრებელია შეიძლება სახე დაიპორჭყნოს და მავანმა მიქნაო დააბრალოს შენმშობელებს უნდაეცემე იქნებ კაცი გაზრდილიყავი დალბაიობი,
1,0,ცუდადყოფნის შენარაფერი გეტყობა თორე ამდენიხანი არიტლიკინებდი ინტერნეტში შენი ძალადობაც ბევრი გაუგია ხალხს ძალადობას ვგმობ რათქმმაუნდა მაგრამ შენხო სირცხვილიხარ ქვეყნის და ყველა შენნაირი ამბიციაროგაქ მწერალთაკავშირის წევრივარო არც ლოგიკაგაქ არც გადმოცემის უნარი და რაცმთავარია კითხვა არიცი ქართულად ვერკითხულობ სირცხვილი იმ ხალხს ვინც შენ მწერალთაკავშირში გაგაწევრიანა ეგხო დიდი შეურაწყოფაა მმაგსფეროში შენნაირი გაუნათლებელი რომმიქნება მასტერკა ტვინიარგაქ თავში და კიდე არც ქალებში წერიხარ და არც კაცებში რა არსებახარ ვერავხვდები მაგრამ თაღლითი და ბინძური სულისპატრონი რომხარ ეგკინათელია,
,,vaime fiso,
1,0,რო აგინებდი მავანის მაშინ ყავდა ხო პატრონი ამ ქვეყანას და ეხლა არ ყავს ხო რო გცემს,
1,0,Amas yba xo ar mougrices,
1,0,Ar mjera rom mavinisgan iyooo girsii xar Ar mecodebii shennairebi cemis girsebii arian da uaresebis,
,,,
1,0,ევროპა რო გინდათ და შესვლა ნატოში ასეთი პიდარასტები და ლგბტ ცემაზე წლიანზე როგაგიშვებენ,
1,0,გიორგი მასხულია შე ყლეო მეტის ღირსი ხარ შენი დედის მუტელი მოვტყან შენ ბოზანდარავ და თუ მართლა მავანიმ გცემა მავანის ვენაცვალე გულში და სულში,
1,0,მობილიზებული მობილიზებულიი ეს ეს ქათამიი ეპატაჟური მეორეეე ქათამიიი თქვენიიი დედის მუტელი მოვტყან ლაპარაკი ისწავლეთ სირებოოო,
1,0,Sheni dedisss xelis guli movtyan pachovnikani ylitvgagitexav tavs sheni dedis saylapav mils ro chavajviiii,
1,0,Masxulia sheni dedas shevecittttt,
1,0,Mogitknes gamzrdeli mogitkan gverdshi mdgomebi she kurica bliad sheni kleopatra deda movstkan,
1,0,vinc dakaves isini arian gamosashvebi ara shen palatidan,
,,vinc qcema is mgonia kaci,
,,kaci xar tu qali,
,,vinc gcema imas vakoce mushtebshi,
,,,
1,0,Ratooo ar mogitynes dedikoc tvalwin,
1,0,რამხელა ყლეყავხარ დედაშენს შენარაგუნებდი მავანის მისტერ ვალენტინზე მოგეტყნა დედის ჯიგარი,
,,რათ გინდოდა გიო ბოტოქსი აგერ სრულიად უფასოდ გაგიკეთეს ბიჭებმა,
1,0,რა დააშავე და ყლეს რომ წოვ საათი ის დააშავე ამ პედარასტების გულისთვის ნახევარი საქართველო დაიჭირეს და ომი რომ დაიწყოს თქვე დედამოტყნულებო თქვენ იომებთ ავტომატი კი არა ყლეზე მძიმე არაფერი გჭერიათ და დიდი მადლობა ამ მთავრობასაც ეს პედარასტები თავზე რომ დაგვასვით,
1,0,ატო ცემეს,
1,0,Moklan midi dedamovtyann meee,
1,0,ნორმალურად მოიქეცი და არავინ გცემს,
1,0,დედის მუტელი მოვტყან თქვენი სუყველასი ტოო,
,,არშეილება ესე ცემა ადამიანის,
,,ბოტოქსი გაგისკდა,
,,პატრონი შენ არ გყავს საცემი ხარ აბა რა ხარ ეგრე ნაზად მე არ ვტირივარ ფუი,
,,,
1,0,Aseti yleebi xart iberastebi,
,,d,
,,ნელა ბოღმის ბუკეტო არ გასკდე,
,,აეეეხლა დაგენ რა საქარ ველოვ,
,,ქალი პოზიტივი საინტერესო ლამაზი სამართლიანი,
,,ღმერთის არ გწამს,
1,0,Trash,
,,Icon,
1,0,ყლეხარ,
,,მაგრად მევასები ქრისტი,
,,ნუ ქგინებთ რაა ჩემს გარეშეეე,
1,0,Xalxo es rogor unda giyvardett tipi dedis utels gaginebt da tqven,
1,0,შენი დედის პირში ჩავხტი ჩემი რო მეტრიან ყლით შჰენი დედაც მოვტყან შე ჟიმისია ყლე მოტელი შჰე ჩამოთესლილო ახვარო სადმე თუ შეგხვდები მოგიტყნახ დედას და მაგ ოთკუთხედ სახეს,
,,სამკურნალო,
1,1,Kristis dedas sheveci,
,,,
,,Shegzlebia wesieri laparaki turme,
,,we love a georgian queer icon,
1,0,Ras gavxar shen pirshi chavajvii an shen vin gamogicers da seriozulad mogismens movutyan dedis muteli imasac,
1,0,KRISRIL ABADES DEDA AHEVTXARE da imisac vis kristil abade ukvars ver gagvigia gioegi xar ru kristi abade shens dedas shegecit mtel ojaxs tkve kleebo bozebo kuchis dukna bozi xar ra unda gelafarakon mainc erti da igibes imeoreb she kleo,
1,0,ქართველი ხარ თუ მემეცი ქრისტილაბაძეს შევეცი ბერლინის ძიკნას მე შევეცი კრისტილაბაძეს შევეცი,
,,ვ ვზნხვკზ,
1,1,გრისტიბლაბაძეს დედა ვატირე,
1,0,შენი დებილი დედამოვტყან ნაბოზარო ყლის შვილო შენი დედამოვტყან ბოზისშვილო ყლე ქალა,
1,1,აუ რა ქრისტი ყლე,
1,0,ფუ რა პიდარასტი ხაარ შე ყლეოოო,
1,1,მომენტი როდესაც ყლექალა კომპლიმენტად ითვლება,
1,0,აუ მართლა შენზე დებილი ადამიანი არ არსებობს და ვითომ შენ ლამაზი ხარ,
1,0,წოვითხარ შენ დაკავებული,
1,0,შენი მდგომარეობა არის საშინელი ან ფსიქოლოგიური დისფორია გაქ და ლითიუმის დალევამ გიშველოს ან ჩასახვის მომენტში მოხდა მუტაცია შენს გენომში რაც არუნდა გაიკეთო ძუძუ და მუტელი და იჩხირო ქალის ჰორმონი ვერაფერს მოუხერხებ x y ქრომოსომას რომელიც შენი კაცობის სათავეა და მაქედან მოდის შენი ფიზიკური განვითარება ყოველთვის გექნება შენს თავთან წინააღმდეგობა ყველა უჯრედის არსი და დანიშნულებაა გაყოფა გამრავლებაა ვერ წახვალ სამყაროს წინააღმდეგ და ვერ გაასაღებ შენს მდგომარეობას ნორმალურად იმაში გეთანხმები რომ საქართველოდან ყველა შენნაირმა ავადმყოფმა გააჯვას და პროჭიდან ნაწლავი რო გადმოგივარდებათ სამშობლოში დამარხვას ნუ მოისურვებთ,
1,0,Idi naxui kristil,
1,0,შენ თვითონ ხარ დედის მუტელი,
,,პ,
,,შენი დედა დიდი სიყვარულით,
1,0,შე ნუბო კაცი ხარ თუ ქალი ეგ გვითხარი ზიპერას რო აბრალი რაღაცეებს,
1,0,შე კუტუ შე ყლის შვილო,
1,0,Mogityan dedis traki,
1,0,fu she matyuaraa gvacodebs tavs,
1,0,არ გამოვიჭერ და შენი დედაც შევეცი,
1,0,ნახვი შე ყლეო,
,,კაი ოჯახის შვილი ხარ,
,,Wow mshvidi kristi bevrqd uketesia,
,,Kriswi seileba qartveli var Mara martla miyvarxar,
,,,
1,0,ტიკტოკი აქ ბოზიშვილს იგინება ტიკტოკზე დ აგინებს ყველაასსს,
1,1,მადლობა კრისტი რო ესეთ ვიდეოებს იღებ ჩემი შვილი რო მეტყვის მამა ყლე რა არისო ამას ვაჩვანებ,
1,0,შენ უნამუსო ტიკ ტოკი არ მაქ და აქ დავწერ შე ვირთხა არ გახსოვს ტიკ ტოკზე ბოდიშს როგორ იხდიდი და არ გაპატიეს და კიდევ იქ რომ ამბობდი შენ ვირთხებოო და ჯუჯებოო და ამ ვიდეოშიც იჯღანება ეს ვირთხა ეს ადამიანის გარდა ყველაფერს გავს ვინმეს ეს თუ მოსწონს არაფერი არ თქვან მაგრამ მე ამას არ მოვითმენ საიდანაც მოვიდა იქ დაბრუნდეს ეს ვირთხა და იცოდეს რომ საქართველოს ქართველები მაგრად დაიცავენ შენგან კიდევ ერთი გინება საქართველოზე და არ გაგიმართლებს,
1,0,Mogityan debili deda ravi,
,,ფუუუ,
,,გერმანული იცი,
1,0,Sheni Deda Motyan sheni Deda Sheveci sheni Kargistraki Motyan Shennairi Yle Tu Arsebobs Yle Xar Bozo,
1,0,შენი ქმარი შვილი მივტყან მე შენი დედაშევეცი,
1,0,ამ დროშას და ყველა გეის,
1,0,შე ყლეო შენ დედას შევეცი მე მე ამას შევეცი მე,
1,0,დავაი რა,
1,0,უბრალოდ ეგოისტი ყლე,
