hate,female,filtered_text
,,იახ მათი ბედი წყდება რა სალომეს ძვირფასი ალბატონის
,,ღირსეული პრეზიდენტი ნამდვილი ევროპული სულისკვეთებით და კარგი დიპლომატი
,,აი გამოსვლა
,,სალომე მაგარია ბრავოოოოო
,,კომპლიმენტი ქალ სალომეს ქედს ვიხდი თქვენს წინაშე
,,Es qali mougebt amat bolos sxvebs shansi ar aqvs
,,წარმატებები
,,ქალბატონო პრეზიდენტო შეიწყალე საქართველოს მესამე პრეზიდენტი და გახდით ევროპლი გზის წინამძღვარი
,,პატარა ნამუსი ქონდეს გადადგები თუ არა მაინც თავი ჩაგუნე და ნუ ლაპარაკობ
,,Maladec kalbatono Salome warmatevebi tkven da sakartvelos
,,ბლა ბლა ბლა
,,ალბატონო პრეზიდენტო
,,ბრავო ბრავო და ტაში
,,მიშა
1,0,ძუკნა
,,Samarcxvino Furceli gamoertvit mere naxavt magis qatvelobas
,,ყოჩაღ ქნო პრეზიდენტო ვამაყობ რომ ხმა მოგეცით
,,Gabriel Jonjua საქებარი ვინა გვყავს
,,ვუერთდები თქვენს სიტყვებს
,,Kitxvac ver uswavlia am udgeurs
,,კუზიანი საქართველოს მტერი
,,
,,არმატებები ქალბატონი პრეზიდენტს
,,პრეზიდენტს ქვეყანა მიყავს ევროპისკენ ამის გამო ატეხეს განგაში
,,
,,ჩემი მხარდჭერა პრეზიდენტს
,,ბრავო სალომეეეე მიდი მიდი და მიშა შეიწყალე და ყველაფერი კარგად იქნება
,,ყოჩაღ პრეზიდენტო ასე გაგრძელე
,,
,,გენაცვალე
,,წარმატებები
,,ბრავო
,,ჩემი პატივისცემა თქვენ ქალბატონო სალომე
,,ბრაოოოოოოო
,,მადლობა სომართლისათვის და წარმატებები გამარჯვებამდე
,,მიაწექი არუსპინო შენ ვინც შეგეხება დასაჯე კანონის სახით თუმდაც გადატრიალდეს სამყარო
,,Yochag qalbatono salomee midi gadadene mtisken mageni
,,ბრავო საქართველოს პრეზიდენტს
,,
,,
,,წარმატებები
,,Romels kavshirshic ar unda shevides Sakartvelo mistvis kvela sasargebloa utkvenoba ar daetkoba arasodes
,,Bravo netav ufr adre gamofx zlebulutav
,,ქალბატონო სალომე
,,Maladec prezidento
,,Chemi Diddi pativiszemaa chvens Presidentess Salome Surabishvilis Bravoo Siniora Gorganno Presidentessa Salome Surabishvili
,,მალადეც პრეზიდენტო
,,Warmatebebi
,,მიშა გამოუშვი ციხიდან
,,ჩემი პატივისცემა საქართველოს ღირსეულ პრეზიდენტს
,,მართალიარ რასაც საუბროფ თუ პოლიტიკურა არ თამაშო ნებისმიერი გლეხიც შენს გვერდიდ დადგება
,,წადი რას
,,ვაი შენს პატრონს საქონელი
,,Bravoo bravoo bravoo
,,madame la pr sidente
1,0,dachamet ertmaneti tqvrni dedebs shevecii
1,0,ფუ შენ თავმოყვარეობას
,,ძალიან გაგვიხარდებოდა ასეთი აქტიური ხალხის გასაჭირის დროს რომიყოთ ამდენი ტრაგედიები გადაიტანა ხალხმა ერთხელ არგვინახიხართ მათგვერდით გამოდის თანამდებობა გეწვის
,,საღოლ ქალბატონო მალედეც არველოდი
,,პირველად ვიამაყე ქალბატონო სალომე რომ თქვენნაირი პრეზიდენტი გვყავს საქართველოს
,,ლპლლ
,,ბრაოოო ასე უნდათ მაგენს
,,Je suis fi re de vous
,,სულ გააფშტვინა ამან
,,არა არს დაფარული რომელი არა გაცხადდეს
,,ჩემი მხარდაჭერა პრეზიდენტს
,,ქართველ ხალხს ეკუთვნის საქართველოც პარლამენტი და
,,Utifari kaxpa
,,Bravo
,,ხან რა და ხან რა
,,წადი შენიიიი
,,ყოჩაღ წარმატებები ქალბატონო პრეზიდენტო
,,მიშა გაანთავისუფლეთ
,,
,,
,,Warmatebebiiiiii
,,თქვენთან ვართ
,,გილოცავთ ქალბატონო პრეზიდენტო გამარჯვებას და მალე ევროპული სტატუსის მონიჭებაც მოგველოცოს სრულიად საქართველოს
,,
,,
,,ღირსეული პრეზიდენტი
,,ჭირიმესალომე შენი
,,წადიი რაას ბოდავ რა კონსტიციაზე გაქვს საუბარი შენ ბებერო მეტირება რო გხედავ არამედ მოვისმინო თქვენი ხმა
,,მოღალატე
,,ბიძინაც მალე იცვლის ფერს
,,ცირკი არის პარლამენტი კი არა
,,Magari mtavrobaa erti prezidenti dainties meore upensiod datoves mesamis gadakeneba undat Magari cirkia
,,უნდაა გაანთავისუფლოს მაინც ქოცებმა ნაცებსს მიაწერესს
,,Tkven mogikvanat Mixom da Tkven daamxet is axia magas Sakartvelize rodis daicket pikrebi ar vici sami samokallako omi da shimshili gamoiara xalxma Tkven ki bairamobdit Parizshi Tkven gamzadebulze mobrcandit da Sakartvelis tkivilit ar gicxovriat
,,ყოჩაღ სალომე
,,თუ სპექტაკლი არ არის ეს ყველაფერი როგორც პოზიცია ოპოზიციის კინკლავი მაშინ მიდი გადაუარე სალო მაგ ხელისბიჭა გოშია კაცუნა ქალუნებს ჰალსტუხიან მაფიოზებს და ქვეყნის გამყიდვლებს
,,Myavrobam verapers ver gaartva tavi da gadaabrales kvelaperi prezidents da opozicias
,,სუპერ რეალობას ბრძანებთ ქალბატონო პრეზიდენტო
,,გვიყვარხართ ქალბატონო პრეზიდენტო
,,დღეს ოცნება იყო ოპოზიციაში რომელიც დამარცხდა სსვა პარტიებიპოზიციაში გამარჯვებულ პარტიებს გისურვებ წარმატებულ მომავალს ქალბატონ პრეზიდენტთან ერთად გზა ევროპისაკენ
,,es ar warmoadgens sirtules aravietvis da arc aravin ar unda amaxvilebdes yuradgebas kalbatoni prezidentis kartul saubarze amdeni zewolac prezidentze ase tu ise kveynis saketildgeo sakitxze mxolod mizezs nu vedzebt davindot ertmaneti pativi vcet chvens prezidents
,,როგორც კანონებს არ ცემს პატივს ვინც ამოვირჩიეთ არც ჩვენ რატომ მოწონს ელისაშვილს ამ ქალბატონის წინ და უკან სიარული უაზროდ რა ხდება
,,
,,მადლობა ქალბატონოსალომე
,,მჯჯჯჯჯმჯ ჯ
,,დიახ ბრაო პრეზიდენტო
,,ყოჩაღ სალომე ასე გააგრძელე და ეს დებილების ხროვა ოცნება არმოუსვლელში გააქანე
1,0,ასე მდაბიო როგორ ყოფილხარ
,,ბრავო ქალბატონო სალომე
,,
,,ბრავო ქალბატონო სალომე
,,ახლა გამოჩნდება ვინ გაიყიდება ვერცხლად ყველას დდშ ცი ვინც ქოცების მხარეს გადავა ისტორიაში ჩაიწერებით როგორც გამყიდველები ქოცისნაირებად
,,
,,მართლა რას მოესწრო საქართველო რომ შენ დაგნიშნეს და არა აგირჩიეს პრეზიდენტად ორი კილო კართოფილის ფასად
,,სალომე
,,Ivanishvili mogalatea eris
,,
,,
,,Sagol bidzos amden mwovelebs rogor uzlebs
,,ნეტა ამან კითხვა მაინც ისწავლოს მე ვიტანჯები ამის მაგიერ
,,
,,
,,
,,
,,მაყვალა ქათამაძე აი შენ რომ ვინმეს რაიმეს ეტყვი წერა ისწავლე
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,გვიყვარხარტ
,,
,,
,,
,,
,,ბ რ ა ვ ო პრეზიდენტს
,,
,,წარმატებებს გისურვებ მე მჯერა ენ გაიმარჯვებ უ ფალი გფარავდეს
,,
,,
,,
,,
,,შენი მოსვლის საათი დაიწვა
,,Amas Raga Aakvs Salaparako da Satitino
,,
,,
,,
,,კარგი სიტყვაა
,,
,,წარმატებები პეზიდენტ სალომეს
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,სალომე ხალხს არ დაუკარგო იმედი
,,
,,წარმატეტბი
,,
,,ბრავო პრეზიდენტო
,,
,,
,,
,,Maka Khubutia
,,Ia Mamajanova ვის უღალატა
,,
,,ვაი და უ კიდო ჩვენ ხალხს რომ კიდო ჩვენს გულებს შეცოდები უფალს ებარებოდეთ
,,
,,
,,წარმატებები პრეზიდენტო
,,
,,
,,მიშას საკითხი სანამ კიდევ დროა
,,მხარს გიჭერთ ქალბატონო პრეზიდენტო
,,
,,გაუთიშეთ მიმროფონი რატომ უსმენთ ევროკავშირის სტატუსი არ არის მისი მონაპოვარი უთხარით და გააწყვეტინეთ
,,ამას რომ კითხულობს ისე ვერ თქვა
,,მოღალატეები როგორ ცმუკავენ ვერ ისვენებენ სკამებზე
,,ინაუგურაციაზე გარბოდა ყველა რომ არ გამხდარიყო პრეზიდენტი და ეხლა ყველას შეუყვარდა სალომე რატომღაც
,,ძალით პრეზიდენტი ხარ რა ვერ გაიგე როგორც დაგსვეს ძალით ისე მოგისროლეს
,,Bravo
,,go girl
,,ვინ ხალხის სახელით ლაპარაკობს
,,Madloba presidents am diidi brzolistvis Udidesi adamiani da diplomati
,,სალომე მიყვარხარ რა გეშველებათ თქვენ ვინც ცუდ კომენტარებს უწერთ ავადმყოფო ფულის მონებო
,,უნდობლობა ჩემგან პრეზიდენტს
,,
,,ერთი ლიდერი ჰყავს საქართველოს ეს მიშა სააკაშვილი დანარჩენი უბრალოდ არ არსებობს წერტილი
,,სამარცხვინო ხარ და მეტი არაფერი
,,
,,ჩემი შენ გითხარიო
,,ვინ დაუწერა სიტყვა ნეტა
,,როგორი ჯანსაღი ყოფილა საქართველოს პარლამენტში სიმართლის ლაპარაკი
,,დაურეკოთ ჩაგეთვალა
,,ერთი მიაწყევლე ყველა და ეგაა
,,slay queen
,,მესეჯ არ არის სწორი პრეზიდენტო ქართულის გაკვეთილები არ გაწყენდათ
,,ყოჩაღ
,,ესეიგი თუ კანდიდატის სტატუსი მოგვანიჭეს მისი დამსახურებაა თუ არა და მთავრობის ბრალი და პირიქით
,,არ დაგაშვებინებთსაც კითხულობს
1,1,შენ ხომ ქალი არ ხარ შენ ქაჯიხარ და საფრანგეთი აგენტი ხარ გაიხსენე როგორ აპირებდა გვარამია შენი სისხლის დალევას მართალი ყოფილან ნაცები ისეთი აღმოჩნდი როგორსაც გეძახდნენ
,,
1,1,ამიწყდი სალომია შენს მხარდამჭერებთან ერთად სამშობლოს მოღალატეებო
,,კონსტიტუციაზე როდის გადახვალთ ძიალოგი არ გინდათ
,,ვის დაუდე პირობა
,,buuuu xa xa xa xaaaaaa
,,სალო
,,სასამართლომ თუ კონსტიტუციის დარღვევა გამოგიტანათ განაჩენი სააკაშვილის მსგავს განაჩენსაც ასე ადვილადვე გამოიტანენ
,,სირცხვილი ხარ ქარველების
,,ობიექტი და მიწები ვინ გადასცა ნაც პრეზიტენდო
,,Nini Nini ეგ ტვინნაღრძობებს
,,Nana Kapanadze მეც
,,Kutsia Tiniko საქართველოს სირცხვილია ფაქტიურად და დამნაშავედ ვგრძნობ თავს ხმა რომ მივეცი
,,Giorgi Bagrationi თქვენც არ გაწყენდათ გრამატიკას გადახედოთ სასვენი ნიშნებს რომ თავისი დანიშნულება აქვს არ გისწავლიათ სწორი აზრის გამოტანისთვისაა სწორედ საჭირო რაც თქვენ საერთოდ არ გიხმარიათ
,,არალეგიტიმური პღეზიდენტი
,,
,,
,,მართალია უღირს პრეზიდენტს მოვესწარით არაფერს პატივს არ ცემ დიდი წარმოდგენა გაქვს შენ თავზე
,,ასე გინდათ თქვენ
,,მოცილდი
,,
,,ხელისუფლების სიძულვილი ნუ დაგაბრმავებთ და ობიექტურად შეხედეთ მოვლენებს რა მო მოგეწონათ პრეზიდენტის გამოსვლაში
,,
,,ჩემი მხარდაჭერა პრეზიდენტს დანარჩენები თქვენ მოსამართლეებთან ერთად მიშასთან ხართ გასაშვებები
1,0,კობახიძეე ჩუჩელაას ვინ კითხაავს
,,ქალბატონო პრეზიდენტო
,,I support my president
,,ეს ვინ არის ვინმე თუ ამიხსნის
,,სირცხვილი ჩკა ნამუსი ჩკაა ღუბაზას გზა კი სარიშვილამდე მიდისო
1,0,SNENI SISXLI MOVTKAN
,,წარმატებები ჩვენს პრეზიდენტს ჩვენი ქვეყნის სასიკეთოდ
,,
,,ალბატონო სალომე დღეს გიორგი გამცემლიძის დაბადების დღეა მიშას სისტემას შეწირული უდანაშაულო ბიჭის იქნებ რამე შეიგნოთ
,,ფაშიტის შთმომავლისგან უკეთესს რას ელოდით ან რას ელით ეს სამ ლარიანი თოჯინა არის როგორც ევროპის ასევე ამერიკის სახე და მაინც ევროპიასკენ მიაქანებთ ქვეყანას რა სხვაობაა გვითხარით ზნეობისგან დაცლილი დასაქცევ დასავლეთში სალომეს სახით შევალთ თუ ჯაფარას უკანალით რა მნიშვნელობა აქვს იქ ხომ ქრისტე არ არის სადაც ქრისტე არ არის იქ სატანა მეფიბს ქვეყანა სატანის ჯურღმულისკენ მიაქანებთ ზოგი წიკვინით და ზოგი კი ტკბილი ენით
,,
,,პუტინს ან სხვა რომელ მტერს რომ შეხვედროდა კიდევ ხომ და ქოცები რომ გატყუებენ და ამდენი ბრა ხალხი რა უბედურებაა რომ ვერ ხდება
,,ჩემი მხარდაჭერა ქვეყნის ევროპულ მომავალსა და ევროპაში ინტეგრაციას სოლიდარობა საქართველოს პრეზიდენტის ინსტიტუტს სალომეზურაბიშვილი
,,კარგი გამოსვლა იყო მაგრამ განთავისუფლე მესამე პრეზიდენტი დაჩაგეთვლება
,,ერის სირცხვილი და თავისმოჭრა მოღალატე დუაცმაცუნა
,,ბრავოოო წარმატებები ქალბატონო სალომე მე მიყვარს ეს ქალი იგი ვნახე სვეტიცხოველში რომ ბავშვს ნათლავდა ამ დრპს ჩემი შვილიშვილიც დალოცა და მოეფერა ისეთი უბრალო და კარგი იყოო მისი მზერა
,,ქ სალომე მე დიდი სიმპათიებით ვერ ვიყავი თქვენს მიმართ მაგრამ ეს რაც ხდება დღეს ეს არის დიდი სირცხვილი თქვენი არა პარლამენტის
,,Bravo salome
,,Bonnie chance madame prezident pour la Georgie
,,
,,Mishaze ras itkvi iq sasamartlo demokratiuli iko ara shenze ar mogewona rom shegexen gulit tu ginda demokratia misha gaantavisufle
,,Salo e prtxilad ar gatxaro
,,ოცნება ვ ჩაგივარდათ კოვზი ნაზარში
,,ხედავ რა გიქნა პატრონმა სად და ვისთან დაგაყენა ეგრე ექცევიან ბოლოს გაყიდულებს ყველას ეზიზღება პატრონის თამადობით
1,1,უსირცხვილო ქალო არმად ჩემი ოჯახის ხმა რომელიც მოგეცით ყელში გაგეჩხიროს თურმე გვარამიას უკეთ ცნობილხარ
1,0,უთავმოყვარეო ძონძის კუკლა მართკა ის ხარ რასაც ნაცები გწძახოდბენ გვარამიას თამადობით
1,0,გვარამიას ებარებოდე ყლ ქალას რომ გეძახოდა და შენ გამოუშვა ციხიდან
,,წარმატებებები ხალხი თქვენთანაა
,,ჩემი პატივისცემა ჩემს პრეზიდენტს
,,sadi shen evropashi umadiro zalat shetenilo prezidento namdvilat arapers ar sarmoadgen xalxis ati prosentit shen gqeravas ro shen agirshies bizina ro ara xval gexirseboda prezidentoba ase rogor dagashina nas bandam ras shen magatma glanzga ra agar gakadra im doneze daesi gvarami titon katama shen piradulsas sheexo da araperi saamako ar gakvs kel mogerebuli amakar ro blukunep pu shen martla politikuro zzukna kali narsisi ise saxval rogors dagibarebia shenairi kaki xasiatis aramzada sakarvelos ar sqirdeba vistanas gagsvlia sheni opopebi ik iplatave
,,ჩვენი მხარდაჭერა პრეზიდენტს
,,აბა რას ელოდი პრეზიდენტო რააა უფრო ადრეც უნდა ყოილიყავი გაბედული თქვენ თქვენ ხართ და უდა იდგე მყრად ხალხთან ხალხის ნდობაა ყველაფერი მე მჯერა თქვენი
,,წარმატებები ქალბატონ სალომეს მართლაც რომ პატარა კაცების სათრევი გახდა ქვეყანა
,,საზოგადოებას როგორ ახსენებს ეს ურცხვი დედაკაცი რას მომივარდით აქაო რომ გამობლუჟუნდა დაავიწყდა როდის გავა ეს ერთი წელი
,,პრეზიდენტს წარმატებები
,,წარმატებები მის აღმატებულება საქართველოს პრეზიდენტს
,,Marina Vashadze ვინც აირჩია მომივარდითო და ვინც ნაბოზარს ეძახდა ვზელინწასმული უძვრება ეს საცოდავი ეს
,,იმ ხალხის დამსახურება იქნება ვინც გონიერია და ფულზე არ ცვლის საქართველოს მომავალს
,,Paata Kasradze მეც მაგას ვამბობ
1,1,Zhuzhuna Gaprindasvili ჩემიც შხამად შეერგოს ამ უმადურ არაქალს
,,Frida Avilova ინტერნაციონალი ხართ კოლონიზატორის ენით
,,Iq dashaveet roca es unicho danisgnet maq jer laparaki ascavleeeeeeeet
,,ოცნებას არაფრის არ რცხვენია უთავმოყვარეო კაცუნების რბო
,,Vu paxwira madam silvuple c pa votxo plas ale orvar madam
,,გაუმარჯოს და გამარჯ ება პრეზიდენტ სალომე ზურაბიშვილს
,,ნამდვილად შთამბეჭდავი სიტყვაა მრცხვენია რომ საჭირო გახდა ამის შესხსენება და ამაზე პოლემიკა რომ საქართველო ევროპაა
,,ჩემი სოლიდარობა ქალბატონ პრეზიდენტს წარმატებები
,,Bravo kalbatono salome
,,იმ კონსტიტუციას რა ვუთხარი ხალხს შენი გადარჩევა რომ არ შეუძლია
,,
,,
,,ყოჩაგ ქალბატონო სალომე
,,ითხვაც არ იცის ამ საცოდავმა
,,წარმატებები ბატონო პრეზიდენტო გაყარე ყველა ნაგავი მთავრობიდან და ეგ ვითომ მოსამართლეები გაყარე საქართველოდან
1,1,ეს ნსგლი ქალი ადვოკსტი სიყვანოს და შეეკითხოს რომ ტინგიცობს არღვევს კანონს თუ არა როგორც ჩანს თვითონ არაფერი გაება კანონის და კონსტიტუციის
,,იზა ბერიშვილო შენნაირებმა რომ დააშავა იმიტომ არის საქართველო სამარცხვინო შენს თვალში ლანძღვა კარგად გცოდნია გინებაც გეცოდინება ყოჩაღ
,,ქალბატონო პრეზიდენტო
1,0,გააჯვი შე მენშევიკო გამყიდველო რა თავს იკატუნებ კონსტიტუციას რომ გადააბიჯე ტყუილია
,,წარმატებები ქალბატონო სალომე
,,წარმატებები ქალბატონო სალომე
1,0,CHEN VINC KARTULI LAPARAKI GASCALA JER CHENI DA MERE IMS DEDAS RO CH CI
,,ცინიკოსია ეს ქალი
,,ყოჩაღ პრეზიდენტო
,,ჩემი მხარდაჭერა პრეზიდენტ პატ სალომე ზურაბიშვილის
,,შეიწყალე სააკაშვილი თუ არ ხარ ბიძინას იგრუშკა
,,გაიხარეთ ქალბატონო სალომე სიმართლის თქმისთვის
,,სისულელეს თამაშობთ პუტინის წინაშე მაგრამ იცის ეს პუტინმა მაინც ვერ გაექცევით შენ ივანიშვილის მონავ გამოუშვი სააკაშვილი თუ გინდა რომ დაადასტურო შენი ართამაში
,,Spektakli vais gavekare da uis shevekare
,,Gaixare Salom Gamarjvebaa da evropuli momavali sakartvelos
,,ბრავო ქალბატონო პრეზიდენტოოოოოოო
,,Gamoucxada msoplios ro arvart girsebi evropis ci gis Ar vimsaxurebt ara girsebivart yvelapris
,,წარმატებები ქალბატონო პრეზიდენტო
,,პრეზიდენტო
,,თქვენ ამომრჩეველს უღალატე
,,მეამაყება სალომე ბრავო
,,ხალხის მხადაჭეით და სახელით ლაპარაკს შეეშვი შე გათახსირებულო მატყყურა ქალო
,,გადადექით
,,წარმატებები ქალბატონ სალომეს ქვეყნის სასიკეთოდ
,,carmatebebi prezidents
,,წარმატებები ჩვენს პრეზიდენტს უფლის ძალა და კალთა ფარავდეს
,,ტაშის დაკვრას რომ აუკრძალავ საერთოდ დაკარგეთ თავმოყვარეობა ც
,,აგარი ხარ რეზიდენტო
,,ბრავო გვარამია ზუსტი შეფასებებისთვის
,,სალომე მაგარი ხარ წარმატებები
,,Qalbatono salomeee
,,უსუსტესი არგუმენტები გაქვთ ქალბატონო
,,
,,Bravo qalbatono salome
,,ქვენ რაც ილაპარაკედ საყვედურით ეს მიღედ ხალხი კი ერთი პროცენტია შენი თანა მოაზრე ბაი ბაი
,,ამას მართლა პრეზიდენდი გონია თავი ვაი შენს პატრონს უბედურს
,,საქართველო კი არა შენ მოესწარი ამ დღეს სალო შენს ბიოგრაფიაში არ უნდა აკეთო ის საქმე რისი ღირსიც არ ხარ
,,წყევლა მაწყევარს
,,მარინა ქობულაძე ქალად ვერ იწოდებით და გვარცხვენთ
1,0,ანა წოწორია ნაგავო გველო
,,მარინა ქობულაძე თქვენი წყევლით შევალთ ნამდვილად ევროკავშირში
1,0,მარინა ქობულაძე ისე ამოწყდი მომკითხავი არ დაგრჩეს
1,0,შენ ამოგევსოს ეგ პირი თაბაშირით დაკირით გამოდიოდე დილით იყრეინებდე ჩხირით რას იწყევლები ამხელა ქალიხარ
,,საუკეთესო გამოსვლა ჩემი მხარდაჭერა ქ პრეზიდენტს
,,სალომე
,,ბრავო პრეზიდენტო
,,პრეზიდენტო მართალი ხართ ოცნების კონსტიტუცია ივანიშვილია და ეს ყველამ ვიცით
,,ყველაფერი სწორია ქალბატონო სალომე წინ ევროპისკენ წარმატებები ძირს რუსული ოცნება
,,უ ნჰ ჯნმ ჟჯ
,,ვინ დაგიწერა ეს სიტყვა ვინ დაიდო ეს ცოდვა ბატების მწყემსის ნაბოდვარს გავს ეს ხარ სულ კი შემეცოდე
1,1,პრეზიდენტი ყ ე ქალა ამის ღირსი ხარ
,,Sasacilo gamosvla gadadit shors
,,Ase gaagrzele prezidento
,,უნამუსობასაც აქვს საზღვარი ევროინტეგრაციის სტატუსით სპეკულირებას თავი დაანებე
,,ქართული ვერ ისწავლა ამ მოღალატემ ბლუი
,,ქალი რო ნათელმირონს ლოგინში ჩაუგორდება დამთავრებულია იქ ყველაფერი
,,მკუანა დედაკაცი
,,ნეტა ვინმეს თუ ჯერა ამ ქალბატონის
,,მიშა შეიწყალეთ ქალბატონო სალომეეეეე
1,1,საცოდოვვო საკარტველო ამ კალისგან ეს მოგალატე მატატკანა მოაშორეტ მალე ვის ალაპარაკებთ გმერთო ერთი პრეზიდენტი ნორმალური ზვიადის შემდეგ რა შეიკნა საკარტველოსთვის
,,მიდი სალომე მაგათ უჩვენე შენი ევროპულობა
,,Warmatebebi Salome zurabishvils
1,1,ბრაო კიარა რაც გამყიდველი წინაპარი თავს ისიც ქართველი ხალხის გამყიდველის ნამუსი რომ გქონდეს ვითომ ქალ უნდა წაეთრიო საქართველოდან
,,ყოჩაღ პრეზიდენტო ვამაყობთ თქვენით ძირს პუყინის მონები
,,სატანა მალე მოშორდები სალო
,,მაგარი ქალ ბატონი ხარ და ასე დაუდექი მაგრად მიშა გამოუშვი
,,ციხე შიგნიდან ტყდება
,,ბრაო სალომე
,,სალომე ევროპული საქართველო
1,1,Sagol salome bolose gafarchake Eg deputatia tu patara kacinebi
,,იცით სად ხართ ბატონო პრეზიდენტო ბიძიბას კანტორაში მონათა თეატრი
,,ქალბატონო პრეზიდენტო გაიხსენეთ სალობიე ნაცები და რა შუაშია მომავალი თაობა იგესლებით და არ გეკადრებათ
,,საინტერესო იყო მარ ლა რა გააკე ა პრეზიდენტმა სტატუსის მისა ებად დადები ი მაგრამ პასუხი არაფერი
,,ჩვენ გავიმარჯვებთ მალე
,,Male amogapangurebt gamyidvelebis shtamomavalo pulze daxarbebulo salome
,,ჯიშმა იყივლა თავისუფლება დაუწერელი კანონია
,,რა ლმაზი ხართ ქ ნო სალომე
,,ჯერ სადაა ესენიდან უარეს ელოდედ ორჯერ ეირჩიეს და ახლა დასდევენ კონსტუტუციას რო დაწერ შენ თავზე კიარუნდა მეირგო ხალხზე დაჭრილ ქორს რო დაესევა ყვავები ანალოგიურია
,,მალადეც
,,წარმატებები სალომეს
,,Gaixaret salome
,,ქართული ანდაზაა გიჟი ბაზარს მიდიოდა რა მიჰქონდა ის მოჰქონდა ფუფალას უშედეგო სეირნობა ეპროპაში კონატიტუციურ კანონს არად აგდებს სამაგალითო ნიმუში პრეცედენტი ჩვენი ქვეყნის ისტორიაში
,,გაბრაზებული სალომე უფრო მომწონხარ
,,ვინც ამ მთავრობას უჭერს მხარს მტერი და მოღალატეა რუსეთი მტერია მტერიიი
,,წარმატებები ჩვენს პრეზიდენტს
,,ვაააა ბრავი
,,პრეზიდენტი ბევრად ჯობია მთავრობას არ ააქვს მიტაცებული არცერთი ინსტიტუტი
,,გაიხარე პრეზიდენტო უფალმა გამძლეობა მოგცეს წარმატებები ცხოვრების გზაზე
1,1,ნაძირა ხარ შე ტუტუცო დედაკაცო
1,1,ყლექალა
,,მიდი სალოოო
,,ესენი უფრო საგონებელში უნდა ჩააგდოთ ქალ სალომე წარმატებები
,,Amas priskebi qonda gasawmendi etyoba brao brao da brao
,,საერთოდ გააბათურესხპრეზიდენტის ინსტიტუტი და მიაყოლეს პარლამენტიც ნული პასუხისმგებლობა სახელმწოფოს მიმართ რომელიც ჯერ ვერ შედგა წელია წრეზე დავდივართ შეგნებულად ჯერ არ გამოჩნდა ეროვნული ძალა ელოდება ამომრჩევლის
,,Ali Babayev ჩაისვარა კობახიძე
,,Ali Babayev მარტო პრეზიდენტი
,,ლია გოლიაძე მაგ კონსტიტუციით რეფერენდუმის უფლება არ გვაქვს
,,წარმატებები ქალ პრეზიდენტს
,,Salome
,,მიჯირყნა ქოცები და პატარა კაცები პრეზიდენტმა
,,უზრდელი ხარ ქაჯო
,,Istoriuli sitkva
,,დამიბრუნე ჩემი ხმა
,,ოცნება თქვენ ხართ ღორები
1,1,რაზე მოათრიეთ ეს არარაობა პარლამენტში მე მრცხვენია რომ ამ ქალს საქართველოს პრეზიდენტი ჰქვია ფუი
1,0,ქათმების შემწყალებელი ნაცბოზბანდაში გადაბირებული გადაბარგებული ფეკალია ხხხტფუ
,,თქვენც აბუჩად აიგდეტ მესამე პრეზიდენტი
,,ნეტა პოლიტ პატიმრებიც გაგენთავისუფლებია და მაშინ უფრო ფასი ექნებოდა თქვენ სიტყვას
,,წარმატებები ზურაბიშვილს
,,დიახ ხალხს არ სჯერა მთავრობის წერტილი
,,მასე გექნა სად იყავი მანამდე
,,გილოცავთ ნაცების გემში გადაბარგებას ქალბატონო პრეზიდენტო სრული იდიოტი
,,ანდა ვინ გისმენს
1,1,იდი ნახუი ქალოო
,,ბრავო ბრავო ბრავო
1,0,მახინჯი კუზიანი გველაძუა და გველი გიურზა საფრანგეთიდან ლიყიანო ლოგოპედთან იარე და წესიერად ახსენი სად დაგმარხოთ საფრანგეთის რომელ უბანში როცა ჩაძაღლდები მასეთი შხამით რომელიც თავადვე მოგკლავს
,,
,,Axla agararis dedis sxeulgamotarebuli presidentei tavmotvlepilima vaselina ekimma rom utoda mand rom gizit
,,როგორი დადგმული სპეკტალლია
,,Bonjue madamm დდდ
,,ვირთხახარ და არა პრეზიდენტი
,,Tkven gaixaret
,,მთელი დღე ტვინი წაიღო ამ ქალმა წადი სახლში ქალბ სალომე
,,მიყვარხარ პრეზიდენტო
,,წადი ვინ გიჭერს
,,ჩემი პატივიცემა სალომდ ზურაბიშვილს
,,ბრავო ქ სალომეს პრეზიდენტზე ჭკვიანი რმლები ხაართ პარლამენტშიი
,,სალომე ტრულაილა
,,Bravo prezidento
,,საქართველოს შეცდომა ხარ შენ
1,1,უნამუსო და უმადური არაქალი
,,ძალიან ძალიან მოინდომე და იმიტომ ვითომ ვითომ გვინდა ჩვენ ხვალიდან ვარღვევ კონსტიტუციას აბა გამეცით ხმა
,,მალადეც ქალბატონო სალომე
1,1,გახრწნილი ნაც ბოზ ბანდის ჩათლახი ყლექალა
1,1,ნაციონალები ყლექალაზე უარესს შეგარქმევენ
1,0,რეზიდენტო გააჯვი შენ სამშობლოში საფრანგეთში
